Palabra	 PFA	Categor�a
desmadejado	0.165	Tristeza
desmalazado	0.264	Tristeza
desmayadamente	0.132	Tristeza
desmayado	0.132	Tristeza
desmayar	0.099	Tristeza
desmedrar	0.165	Tristeza
desmoralizaci�n	0.529	Tristeza
desmoralizador	0.595	Tristeza
desmoralizante	0.595	Tristeza
desmoralizar	0.562	Tristeza
desmotivar	0.762	Tristeza
desolaci�n	0.762	Tristeza
desolar	0.729	Tristeza
despojar	0.496	Tristeza
desposeer	0.297	Tristeza
desprivar	0.264	Tristeza
desprotecci�n	0.264	Tristeza
desprotegido	0.363	Tristeza
destartalado	0.33	Tristeza
destrozo	0.562	Tristeza
desventura	0.729	Tristeza
desventurado	0.629	Tristeza
devastar	0.764	Tristeza
doler	0.764	Tristeza
doliente	0.832	Tristeza
dolor	0.832	Tristeza
dolorido	0.832	Tristeza
doloroso	0.866	Tristeza
duelo	0.497	Tristeza
echar	0.099	Tristeza
encoger 	0.264	Tristeza
encuitar	0.232	Tristeza
enervar 	0.231	Tristeza
enfermedad	0.629	Tristeza
enflaquecer	0.563	Tristeza
enlutar	0.797	Tristeza
ensombrecer	0.697	Tristeza
entristecedor	0.899	Tristeza
entristecer	0.932	Tristeza
entristecimiento	0.899	Tristeza
escarmentar	0.331	Tristeza
escasez	0.398	Tristeza
escaso	0.365	Tristeza
espl�n	0.466	Tristeza
estragar	0.165	Tristeza
flaquear	0.396	Tristeza
flaqueza	0.363	Tristeza
fl�bil	0.697	Tristeza
fr�o	0.198	Tristeza
frustaci�n	0.396	Tristeza
f�nebre	0.696	Tristeza
f�nebremente	0.662	Tristeza
funeral	0.763	Tristeza
funerario	0.764	Tristeza
funesto	0.497	Tristeza
grave	0.463	Tristeza
gris	0.564	Tristeza
hambre	0.331	Tristeza
hu�rfano	0.764	Tristeza
humilde	0.396	Tristeza
humillar	0.496	Tristeza
hundido	0.496	Tristeza
hundir	0.464	Tristeza
hund�rsele	0.299	Tristeza
imperfecto	0.231	Tristeza
impotencia	0.53	Tristeza
impotente	0.464	Tristeza
inconforme	0.33	Tristeza
inconformidad	0.264	Tristeza
inconsolable	0.732	Tristeza
indigente	0.398	Tristeza
infausto	0.53	Tristeza
infectar	0.297	Tristeza
infedelidad	0.597	Tristeza
infelicidad	0.898	Tristeza
infeliz	0.966	Tristeza
inferior	0.264	Tristeza
infortunado	0.73	Tristeza
infortunio	0.729	Tristeza
inhabitado	0.33	Tristeza
injusticia	0.496	Tristeza
inmoral	0.464	Tristeza
innoble	0.463	Tristeza
inquietud	0.231	Tristeza
insatisfacci�n	0.297	Tristeza
insatisfecho	0.331	Tristeza
lacerar	0.529	Tristeza
laceria	0.463	Tristeza
lacrimoso	0.63	Tristeza
l�grima	0.763	Tristeza
lagrimar	0.763	Tristeza
l�grimas	0.763	Tristeza
lagrimear	0.762	Tristeza
lagrimoso	0.662	Tristeza
laido	0.53	Tristeza
lamentable	0.629	Tristeza
lamentablemente	0.597	Tristeza
lamentar	0.729	Tristeza
lamento	0.729	Tristeza
lamentoso	0.729	Tristeza
l�nguidamente	0.496	Tristeza
l�nguido	0.496	Tristeza
larga	0.066	Tristeza
lastima	0.73	Tristeza
lastimeramente	0.696	Tristeza
lastimero	0.73	Tristeza
lastimoso	0.763	Tristeza
llanto	0.865	Tristeza
llorar	0.865	Tristeza
llor�n	0.763	Tristeza
lloroso	0.797	Tristeza
l�bregamente	0.463	Tristeza
l�brego	0.464	Tristeza
luctuosamente	0.83	Tristeza
luctuoso	0.898	Tristeza
l�gubre	0.865	Tristeza
lugubres	0.865	Tristeza
luto	0.932	Tristeza
lutoso	0.932	Tristeza
macabro	0.199	Tristeza
mal	0.431	Tristeza
malandante	0.363	Tristeza
malaventurado	0.63	Tristeza
malcontento	0.563	Tristeza
maldito	0.264	Tristeza
malhadado	0.529	Tristeza
malhumorar	0.297	Tristeza
malo	0.265	Tristeza
maltrecho	0.33	Tristeza
melancol�a	0.865	Tristeza
melanc�licamente	0.865	Tristeza
melanc�lico	0.865	Tristeza
menesteroso	0.462	Tristeza
menguante	0.099	Tristeza
mezquinamente	0.231	Tristeza
mezquindad	0.231	Tristeza
miserable	0.628	Tristeza
miserablemente	0.661	Tristeza
m�seramente	0.596	Tristeza
miseria	0.596	Tristeza
m�sero	0.562	Tristeza
mis�rrimamente	0.463	Tristeza
molestar	0.132	Tristeza
morri�a	0.532	Tristeza
muerte	0.865	Tristeza
muerto	0.731	Tristeza
mustiamente	0.298	Tristeza
mustio	0.365	Tristeza
necesitado	0.497	Tristeza
nefasto	0.33	Tristeza
negro	0.198	Tristeza
nocturno	0.033	Tristeza
nost�lgico	0.831	Tristeza
obscuridad	0.265	Tristeza
obscuro	0.265	Tristeza
onerosamente	0.165	Tristeza
opacidad	0.264	Tristeza
opresi�n	0.264	Tristeza
opresivamente	0.396	Tristeza
opresivo	0.363	Tristeza
oprimente	0.396	Tristeza
oprimir	0.198	Tristeza
oscuramente	0.033	Tristeza
oscurecer	0.066	Tristeza
oscuridad	0.099	Tristeza
oscuro	0.066	Tristeza
padecer	0.429	Tristeza
padecimiento	0.429	Tristeza
pante�n	0.563	Tristeza
partir	0.596	Tristeza
pat�tico	0.165	Tristeza
paup�rrimamente	0.232	Tristeza
paup�rrimo	0.232	Tristeza
pena	0.695	Tristeza
penalidad	0.331	Tristeza
penar	0.628	Tristeza
penitencia	0.496	Tristeza
penitente	0.496	Tristeza
penosamente	0.396	Tristeza
penoso	0.363	Tristeza
penumbra	0.364	Tristeza
perder	0.629	Tristeza
p�rdida	0.864	Tristeza
perseguir	0.231	Tristeza
perverso	0.132	Tristeza
pesadumbre	0.496	Tristeza
pesar	0.562	Tristeza
pesaroso	0.496	Tristeza
pesimismo	0.429	Tristeza
pisotear	0.33	Tristeza
pobre	0.462	Tristeza
pobremente	0.396	Tristeza
pobrete	0.363	Tristeza
pobreto	0.363	Tristeza
pobreza	0.396	Tristeza
podrir	0.297	Tristeza
preocupar	0.462	Tristeza
presionar	0.264	Tristeza
privar	0.496	Tristeza
quebranto	0.628	Tristeza
reducir	0.099	Tristeza
remordimiento	0.595	Tristeza
ruina	0.43	Tristeza
serio	0.132	Tristeza
soledad	0.763	Tristeza
solitario	0.83	Tristeza
sollozar	0.798	Tristeza
solo	0.729	Tristeza
sombr�o	0.397	Tristeza
sufrimiento	0.898	Tristeza
sufrir	0.898	Tristeza
sumisamente	0.43	Tristeza
taciturnidad	0.431	Tristeza
taciturno	0.464	Tristeza
temor	0.198	Tristeza
tenebrosamente	0.198	Tristeza
tenebrosidad	0.132	Tristeza
tenebroso	0.132	Tristeza
t�trico	0.199	Tristeza
tormento	0.53	Tristeza
triste	0.966	Tristeza
tristemente	0.966	Tristeza
tristeza	0.966	Tristeza
trizas	0.464	Tristeza
vejaci�n	0.297	Tristeza
vejar	0.396	Tristeza
vergonzoso	0.231	Tristeza
zangarriana 	0.53	Tristeza
